#separator:tab
#html:true
#columns:Front	Back	Tags
bring	/brɪŋ/　<b>v.</b>　带来（brought）<br>Bring it here. 拿过来。	高频动词
carry	/ˈkæri/　<b>v.</b>　携带<br>Carry the bag. 拿着包。	高频动词
find	/faɪnd/　<b>v.</b>　找到（found）<br>I found it. 我找到了。	高频动词
lose	/luːz/　<b>v.</b>　丢失（lost）<br>Don't lose it. 别弄丢了。	高频动词
win	/wɪn/　<b>v.</b>　赢（won）<br>We won. 我们赢了。	高频动词
choose	/tʃuːz/　<b>v.</b>　选择（chose, chosen）<br>Choose one. 选一个。	高频动词
change	/tʃeɪndʒ/　<b>v.</b>　改变<br>Change the plan. 改变计划。	高频动词
follow	/ˈfɒləʊ/　<b>v.</b>　跟随<br>Follow me. 跟着我。	高频动词
join	/dʒɔɪn/　<b>v.</b>　加入<br>Join the call. 加入通话。	高频动词
return	/rɪˈtɜːn/　<b>v.</b>　返回<br>I'll return soon. 我很快回来。	高频动词
learn	/lɜːn/　<b>v.</b>　学习<br>Learn English. 学英语。	高频动词
study	/ˈstʌdi/　<b>v.</b>　学习，研究<br>Study hard. 努力学习。	高频动词
teach	/tiːtʃ/　<b>v.</b>　教（taught）<br>She teaches Java. 她教 Java。	高频动词
read	/riːd/　<b>v.</b>　读（read /red/）<br>Read the docs. 读文档。	高频动词
write	/raɪt/　<b>v.</b>　写（wrote, written）<br>Write the code. 写代码。	高频动词
build	/bɪld/　<b>v.</b>　构建（built）<br>Build the app. 构建应用。	高频动词
create	/kriˈeɪt/　<b>v.</b>　创建<br>Create a file. 新建文件。	高频动词
add	/æd/　<b>v.</b>　添加<br>Add a comment. 加个注释。	高频动词
remove	/rɪˈmuːv/　<b>v.</b>　移除<br>Remove the bug. 移除 bug。	高频动词
delete	/dɪˈliːt/　<b>v.</b>　删除<br>Delete the row. 删除这行。	高频动词
update	/ˌʌpˈdeɪt/　<b>v.</b>　更新<br>Update the app. 更新应用。	高频动词
check	/tʃek/　<b>v.</b>　检查<br>Check the code. 检查代码。	高频动词
test	/test/　<b>v.</b>　测试<br>Test it first. 先测试。	高频动词
fix	/fɪks/　<b>v.</b>　修复<br>Fix the bug. 修复 bug。	高频动词
solve	/sɒlv/　<b>v.</b>　解决<br>Solve the problem. 解决问题。	高频动词
design	/dɪˈzaɪn/　<b>v.</b>　设计<br>Design the UI. 设计界面。	高频动词
plan	/plæn/　<b>v.</b>　计划<br>Plan ahead. 提前计划。	高频动词
manage	/ˈmænɪdʒ/　<b>v.</b>　管理<br>Manage the team. 管理团队。	高频动词
complete	/kəmˈpliːt/　<b>v.</b>　完成<br>Complete the task. 完成任务。	高频动词
improve	/ɪmˈpruːv/　<b>v.</b>　改进<br>Improve the code. 改进代码。	高频动词
develop	/dɪˈveləp/　<b>v.</b>　开发<br>Develop an app. 开发一个应用。	高频动词
support	/səˈpɔːt/　<b>v.</b>　支持<br>We support it. 我们支持它。	高频动词
provide	/prəˈvaɪd/　<b>v.</b>　提供<br>Provide feedback. 提供反馈。	高频动词
require	/rɪˈkwaɪə/　<b>v.</b>　需要，要求<br>It requires login. 它需要登录。	高频动词
allow	/əˈlaʊ/　<b>v.</b>　允许<br>Allow access. 允许访问。	高频动词
include	/ɪnˈkluːd/　<b>v.</b>　包括<br>Include the file. 包含这个文件。	高频动词
set	/set/　<b>v.</b>　设置（set）<br>Set a password. 设置密码。	高频动词
save	/seɪv/　<b>v.</b>　保存<br>Save your work. 保存你的工作。	高频动词
share	/ʃeə/　<b>v.</b>　分享<br>Share the link. 分享链接。	高频动词
report	/rɪˈpɔːt/　<b>v.</b>　报告<br>Report a problem. 报告问题。	高频动词
review	/rɪˈvjuː/　<b>v.</b>　评审<br>Review my code. 评审我的代码。	高频动词
deploy	/dɪˈplɔɪ/　<b>v.</b>　部署<br>Deploy to server. 部署到服务器。	高频动词
release	/rɪˈliːs/　<b>v.</b>　发布<br>Release the version. 发布版本。	高频动词
connect	/kəˈnekt/　<b>v.</b>　连接<br>Connect to WiFi. 连接 WiFi。	高频动词
download	/ˌdaʊnˈləʊd/　<b>v.</b>　下载<br>Download the app. 下载应用。	高频动词
upload	/ˌʌpˈləʊd/　<b>v.</b>　上传<br>Upload the file. 上传文件。	高频动词
click	/klɪk/　<b>v.</b>　点击<br>Click the button. 点击按钮。	高频动词
type	/taɪp/　<b>v.</b>　打字，输入<br>Type your name. 输入你的名字。	高频动词
search	/sɜːtʃ/　<b>v.</b>　搜索<br>Search online. 在线搜索。	高频动词
happen	/ˈhæpən/　<b>v.</b>　发生<br>What happened? 发生了什么？	高频动词
seem	/siːm/　<b>v.</b>　似乎<br>It seems fine. 看起来没问题。	高频动词
become	/bɪˈkʌm/　<b>v.</b>　变成（became）<br>It became slow. 它变慢了。	高频动词
appear	/əˈpɪə/　<b>v.</b>　出现<br>An error appeared. 出现了一个错误。	高频动词
people	/ˈpiːpl/　<b>n.</b>　人们<br>Many people. 很多人。	名词_人与家庭
person	/ˈpɜːsn/　<b>n.</b>　人<br>A nice person. 一个好人。	名词_人与家庭
man	/mæn/　<b>n.</b>　男人<br>That man. 那个男人。	名词_人与家庭
woman	/ˈwʊmən/　<b>n.</b>　女人<br>A woman. 一个女人。	名词_人与家庭
child	/tʃaɪld/　<b>n.</b>　孩子（复 children）<br>A little child. 一个小孩。	名词_人与家庭
boy	/bɔɪ/　<b>n.</b>　男孩<br>A young boy. 一个小男孩。	名词_人与家庭
girl	/ɡɜːl/　<b>n.</b>　女孩<br>A little girl. 一个小女孩。	名词_人与家庭
baby	/ˈbeɪbi/　<b>n.</b>　婴儿<br>A cute baby. 一个可爱的宝宝。	名词_人与家庭
family	/ˈfæməli/　<b>n.</b>　家庭<br>My family. 我的家人。	名词_人与家庭
father	/ˈfɑːðə/　<b>n.</b>　父亲<br>My father. 我父亲。	名词_人与家庭
mother	/ˈmʌðə/　<b>n.</b>　母亲<br>My mother. 我母亲。	名词_人与家庭
parents	/ˈpeərənts/　<b>n.</b>　父母<br>My parents. 我父母。	名词_人与家庭
son	/sʌn/　<b>n.</b>　儿子<br>Their son. 他们的儿子。	名词_人与家庭
daughter	/ˈdɔːtə/　<b>n.</b>　女儿<br>Their daughter. 他们的女儿。	名词_人与家庭
brother	/ˈbrʌðə/　<b>n.</b>　兄弟<br>My brother. 我兄弟。	名词_人与家庭
sister	/ˈsɪstə/　<b>n.</b>　姐妹<br>My sister. 我姐妹。	名词_人与家庭
husband	/ˈhʌzbənd/　<b>n.</b>　丈夫<br>Her husband. 她丈夫。	名词_人与家庭
wife	/waɪf/　<b>n.</b>　妻子<br>His wife. 他妻子。	名词_人与家庭
friend	/frend/　<b>n.</b>　朋友<br>A good friend. 一个好朋友。	名词_人与家庭
name	/neɪm/　<b>n.</b>　名字<br>My name is Li. 我叫李。	名词_人与家庭
people	/ˈpiːpl/　<b>n.</b>　人们<br>Nice people. 好人。	名词_人与家庭
team	/tiːm/　<b>n.</b>　团队<br>Our team. 我们团队。	名词_人与家庭
group	/ɡruːp/　<b>n.</b>　小组<br>A study group. 学习小组。	名词_人与家庭
everyone	/ˈevriwʌn/　<b>pron.</b>　每个人<br>Hi everyone. 大家好。	名词_人与家庭
neighbor	/ˈneɪbə/　<b>n.</b>　邻居<br>My neighbor. 我邻居。	名词_人与家庭
colleague	/ˈkɒliːɡ/　<b>n.</b>　同事<br>My colleague. 我同事。	名词_人与家庭
boss	/bɒs/　<b>n.</b>　老板<br>My boss. 我老板。	名词_人与家庭
customer	/ˈkʌstəmə/　<b>n.</b>　顾客<br>A happy customer. 满意的顾客。	名词_人与家庭
user	/ˈjuːzə/　<b>n.</b>　用户<br>Active users. 活跃用户。	名词_人与家庭
body	/ˈbɒdi/　<b>n.</b>　身体<br>The human body. 人体。	名词_身体与健康
head	/hed/　<b>n.</b>　头<br>My head hurts. 我头疼。	名词_身体与健康
face	/feɪs/　<b>n.</b>　脸<br>Wash your face. 洗脸。	名词_身体与健康
eye	/aɪ/　<b>n.</b>　眼睛<br>Close your eyes. 闭上眼睛。	名词_身体与健康
ear	/ɪə/　<b>n.</b>　耳朵<br>My ears. 我的耳朵。	名词_身体与健康
nose	/nəʊz/　<b>n.</b>　鼻子<br>A runny nose. 流鼻涕。	名词_身体与健康
mouth	/maʊθ/　<b>n.</b>　嘴<br>Open your mouth. 张嘴。	名词_身体与健康
tooth	/tuːθ/　<b>n.</b>　牙齿（复 teeth）<br>Brush your teeth. 刷牙。	名词_身体与健康
hair	/heə/　<b>n.</b>　头发<br>Long hair. 长发。	名词_身体与健康
hand	/hænd/　<b>n.</b>　手<br>Raise your hand. 举手。	名词_身体与健康
arm	/ɑːm/　<b>n.</b>　手臂<br>My left arm. 我左臂。	名词_身体与健康
leg	/leɡ/　<b>n.</b>　腿<br>Long legs. 长腿。	名词_身体与健康
foot	/fʊt/　<b>n.</b>　脚（复 feet）<br>My feet hurt. 我脚疼。	名词_身体与健康
finger	/ˈfɪŋɡə/　<b>n.</b>　手指<br>Ten fingers. 十根手指。	名词_身体与健康
back	/bæk/　<b>n.</b>　背<br>My back hurts. 我背疼。	名词_身体与健康
heart	/hɑːt/　<b>n.</b>　心脏<br>A strong heart. 强健的心脏。	名词_身体与健康
health	/helθ/　<b>n.</b>　健康<br>Good health. 身体健康。	名词_身体与健康
doctor	/ˈdɒktə/　<b>n.</b>　医生<br>See a doctor. 看医生。	名词_身体与健康
hospital	/ˈhɒspɪtl/　<b>n.</b>　医院<br>Go to hospital. 去医院。	名词_身体与健康
medicine	/ˈmedsn/　<b>n.</b>　药<br>Take medicine. 吃药。	名词_身体与健康
pain	/peɪn/　<b>n.</b>　疼痛<br>I feel pain. 我觉得疼。	名词_身体与健康
cold	/kəʊld/　<b>n.</b>　感冒<br>I have a cold. 我感冒了。	名词_身体与健康
fever	/ˈfiːvə/　<b>n.</b>　发烧<br>A high fever. 高烧。	名词_身体与健康
sleep	/sliːp/　<b>n.</b>　睡眠<br>Enough sleep. 充足睡眠。	名词_身体与健康
exercise	/ˈeksəsaɪz/　<b>n.</b>　锻炼<br>Do exercise. 做运动。	名词_身体与健康
food	/fuːd/　<b>n.</b>　食物<br>Good food. 美食。	名词_食物与饮料
water	/ˈwɔːtə/　<b>n.</b>　水<br>A glass of water. 一杯水。	名词_食物与饮料
tea	/tiː/　<b>n.</b>　茶<br>Green tea. 绿茶。	名词_食物与饮料
coffee	/ˈkɒfi/　<b>n.</b>　咖啡<br>A cup of coffee. 一杯咖啡。	名词_食物与饮料
milk	/mɪlk/　<b>n.</b>　牛奶<br>Fresh milk. 鲜奶。	名词_食物与饮料
juice	/dʒuːs/　<b>n.</b>　果汁<br>Orange juice. 橙汁。	名词_食物与饮料
rice	/raɪs/　<b>n.</b>　米饭<br>A bowl of rice. 一碗饭。	名词_食物与饮料
bread	/bred/　<b>n.</b>　面包<br>Fresh bread. 新鲜面包。	名词_食物与饮料
noodle	/ˈnuːdl/　<b>n.</b>　面条<br>Beef noodles. 牛肉面。	名词_食物与饮料
egg	/eɡ/　<b>n.</b>　鸡蛋<br>Two eggs. 两个鸡蛋。	名词_食物与饮料
meat	/miːt/　<b>n.</b>　肉<br>Red meat. 红肉。	名词_食物与饮料
chicken	/ˈtʃɪkɪn/　<b>n.</b>　鸡肉<br>Fried chicken. 炸鸡。	名词_食物与饮料
fish	/fɪʃ/　<b>n.</b>　鱼<br>Fresh fish. 鲜鱼。	名词_食物与饮料
fruit	/fruːt/　<b>n.</b>　水果<br>Fresh fruit. 新鲜水果。	名词_食物与饮料
apple	/ˈæpl/　<b>n.</b>　苹果<br>An apple a day. 一天一苹果。	名词_食物与饮料
banana	/bəˈnɑːnə/　<b>n.</b>　香蕉<br>A yellow banana. 黄香蕉。	名词_食物与饮料
vegetable	/ˈvedʒtəbl/　<b>n.</b>　蔬菜<br>Eat vegetables. 吃蔬菜。	名词_食物与饮料
soup	/suːp/　<b>n.</b>　汤<br>Hot soup. 热汤。	名词_食物与饮料
sugar	/ˈʃʊɡə/　<b>n.</b>　糖<br>No sugar. 不加糖。	名词_食物与饮料
salt	/sɔːlt/　<b>n.</b>　盐<br>Add salt. 加点盐。	名词_食物与饮料
breakfast	/ˈbrekfəst/　<b>n.</b>　早餐<br>Have breakfast. 吃早餐。	名词_食物与饮料
lunch	/lʌntʃ/　<b>n.</b>　午餐<br>Have lunch. 吃午饭。	名词_食物与饮料
dinner	/ˈdɪnə/　<b>n.</b>　晚餐<br>Cook dinner. 做晚饭。	名词_食物与饮料
meal	/miːl/　<b>n.</b>　一餐<br>A big meal. 一顿大餐。	名词_食物与饮料
restaurant	/ˈrestrɒnt/　<b>n.</b>　餐厅<br>A nice restaurant. 一家好餐厅。	名词_食物与饮料
menu	/ˈmenjuː/　<b>n.</b>　菜单<br>The menu, please. 请给我菜单。	名词_食物与饮料
plate	/pleɪt/　<b>n.</b>　盘子<br>A clean plate. 干净的盘子。	名词_食物与饮料
cup	/kʌp/　<b>n.</b>　杯子<br>A cup of tea. 一杯茶。	名词_食物与饮料
house	/haʊs/　<b>n.</b>　房子<br>A big house. 一栋大房子。	名词_家居与日常物品
home	/həʊm/　<b>n.</b>　家<br>Go home. 回家。	名词_家居与日常物品
room	/ruːm/　<b>n.</b>　房间<br>My room. 我的房间。	名词_家居与日常物品
door	/dɔː/　<b>n.</b>　门<br>Open the door. 开门。	名词_家居与日常物品
window	/ˈwɪndəʊ/　<b>n.</b>　窗户<br>Close the window. 关窗。	名词_家居与日常物品
wall	/wɔːl/　<b>n.</b>　墙<br>On the wall. 在墙上。	名词_家居与日常物品
floor	/flɔː/　<b>n.</b>　地板；楼层<br>Third floor. 三楼。	名词_家居与日常物品
table	/ˈteɪbl/　<b>n.</b>　桌子<br>On the table. 在桌上。	名词_家居与日常物品
chair	/tʃeə/　<b>n.</b>　椅子<br>Sit on the chair. 坐椅子上。	名词_家居与日常物品
bed	/bed/　<b>n.</b>　床<br>Go to bed. 睡觉。	名词_家居与日常物品
desk	/desk/　<b>n.</b>　书桌<br>At my desk. 在我桌前。	名词_家居与日常物品
light	/laɪt/　<b>n.</b>　灯；光<br>Turn on the light. 开灯。	名词_家居与日常物品
key	/kiː/　<b>n.</b>　钥匙；键<br>My keys. 我的钥匙。	名词_家居与日常物品
bag	/bæɡ/　<b>n.</b>　包<br>A shopping bag. 购物袋。	名词_家居与日常物品
box	/bɒks/　<b>n.</b>　盒子<br>A big box. 一个大箱子。	名词_家居与日常物品
book	/bʊk/　<b>n.</b>　书<br>Read a book. 读一本书。	名词_家居与日常物品
paper	/ˈpeɪpə/　<b>n.</b>　纸<br>A piece of paper. 一张纸。	名词_家居与日常物品
pen	/pen/　<b>n.</b>　笔<br>A blue pen. 一支蓝笔。	名词_家居与日常物品
clock	/klɒk/　<b>n.</b>　钟<br>The wall clock. 挂钟。	名词_家居与日常物品
phone	/fəʊn/　<b>n.</b>　电话<br>My phone. 我的手机。	名词_家居与日常物品
clothes	/kləʊðz/　<b>n.</b>　衣服<br>Wear clothes. 穿衣服。	名词_家居与日常物品
shoe	/ʃuː/　<b>n.</b>　鞋<br>New shoes. 新鞋。	名词_家居与日常物品
money	/ˈmʌni/　<b>n.</b>　钱<br>Save money. 存钱。	名词_家居与日常物品
card	/kɑːd/　<b>n.</b>　卡片<br>A credit card. 信用卡。	名词_家居与日常物品
picture	/ˈpɪktʃə/　<b>n.</b>　图片<br>Take a picture. 拍张照。	名词_家居与日常物品
gift	/ɡɪft/　<b>n.</b>　礼物<br>A nice gift. 一份好礼物。	名词_家居与日常物品
thing	/θɪŋ/　<b>n.</b>　东西<br>My things. 我的东西。	名词_家居与日常物品
stuff	/stʌf/　<b>n.</b>　东西（笼统）<br>A lot of stuff. 很多东西。	名词_家居与日常物品
place	/pleɪs/　<b>n.</b>　地方<br>A quiet place. 安静的地方。	名词_地点与场所
city	/ˈsɪti/　<b>n.</b>　城市<br>A big city. 大城市。	名词_地点与场所
town	/taʊn/　<b>n.</b>　城镇<br>A small town. 小镇。	名词_地点与场所
country	/ˈkʌntri/　<b>n.</b>　国家；乡村<br>My country. 我的国家。	名词_地点与场所
street	/striːt/　<b>n.</b>　街道<br>On the street. 在街上。	名词_地点与场所
road	/rəʊd/　<b>n.</b>　路<br>A long road. 一条长路。	名词_地点与场所
school	/skuːl/　<b>n.</b>　学校<br>Go to school. 上学。	名词_地点与场所
office	/ˈɒfɪs/　<b>n.</b>　办公室<br>At the office. 在办公室。	名词_地点与场所
company	/ˈkʌmpəni/　<b>n.</b>　公司<br>A big company. 大公司。	名词_地点与场所
shop	/ʃɒp/　<b>n.</b>　商店<br>A coffee shop. 咖啡店。	名词_地点与场所
store	/stɔː/　<b>n.</b>　商店<br>The app store. 应用商店。	名词_地点与场所
market	/ˈmɑːkɪt/　<b>n.</b>　市场<br>The fruit market. 水果市场。	名词_地点与场所
bank	/bæŋk/　<b>n.</b>　银行<br>Go to the bank. 去银行。	名词_地点与场所
hotel	/həʊˈtel/　<b>n.</b>　酒店<br>Book a hotel. 订酒店。	名词_地点与场所
airport	/ˈeəpɔːt/　<b>n.</b>　机场<br>At the airport. 在机场。	名词_地点与场所
station	/ˈsteɪʃn/　<b>n.</b>　车站<br>The train station. 火车站。	名词_地点与场所
park	/pɑːk/　<b>n.</b>　公园<br>Walk in the park. 在公园散步。	名词_地点与场所
bathroom	/ˈbɑːθruːm/　<b>n.</b>　卫生间<br>The bathroom. 洗手间。	名词_地点与场所
kitchen	/ˈkɪtʃɪn/　<b>n.</b>　厨房<br>In the kitchen. 在厨房。	名词_地点与场所
garden	/ˈɡɑːdn/　<b>n.</b>　花园<br>A small garden. 小花园。	名词_地点与场所
library	/ˈlaɪbrəri/　<b>n.</b>　图书馆<br>The city library. 市图书馆。	名词_地点与场所
center	/ˈsentə/　<b>n.</b>　中心<br>The city center. 市中心。	名词_地点与场所
world	/wɜːld/　<b>n.</b>　世界<br>Around the world. 全世界。	名词_地点与场所
area	/ˈeəriə/　<b>n.</b>　区域<br>This area. 这个区域。	名词_地点与场所
way	/weɪ/　<b>n.</b>　路；方式<br>This way, please. 这边请。	名词_地点与场所
weather	/ˈweðə/　<b>n.</b>　天气<br>Nice weather. 好天气。	名词_自然与天气
sun	/sʌn/　<b>n.</b>　太阳<br>The sun is out. 出太阳了。	名词_自然与天气
moon	/muːn/　<b>n.</b>　月亮<br>A full moon. 满月。	名词_自然与天气
sky	/skaɪ/　<b>n.</b>　天空<br>Blue sky. 蓝天。	名词_自然与天气
star	/stɑː/　<b>n.</b>　星星<br>Many stars. 很多星星。	名词_自然与天气
rain	/reɪn/　<b>n.</b>　雨<br>Heavy rain. 大雨。	名词_自然与天气
snow	/snəʊ/　<b>n.</b>　雪<br>White snow. 白雪。	名词_自然与天气
wind	/wɪnd/　<b>n.</b>　风<br>Strong wind. 大风。	名词_自然与天气
cloud	/klaʊd/　<b>n.</b>　云<br>Dark clouds. 乌云。	名词_自然与天气
air	/eə/　<b>n.</b>　空气<br>Fresh air. 新鲜空气。	名词_自然与天气
water	/ˈwɔːtə/　<b>n.</b>　水<br>Clean water. 干净的水。	名词_自然与天气
fire	/ˈfaɪə/　<b>n.</b>　火<br>A big fire. 大火。	名词_自然与天气
tree	/triː/　<b>n.</b>　树<br>A tall tree. 一棵高树。	名词_自然与天气
flower	/ˈflaʊə/　<b>n.</b>　花<br>Beautiful flowers. 美丽的花。	名词_自然与天气
grass	/ɡrɑːs/　<b>n.</b>　草<br>Green grass. 绿草。	名词_自然与天气
mountain	/ˈmaʊntən/　<b>n.</b>　山<br>A high mountain. 一座高山。	名词_自然与天气
river	/ˈrɪvə/　<b>n.</b>　河<br>A long river. 一条长河。	名词_自然与天气
sea	/siː/　<b>n.</b>　海<br>The blue sea. 蓝色的大海。	名词_自然与天气
beach	/biːtʃ/　<b>n.</b>　海滩<br>On the beach. 在海滩上。	名词_自然与天气
animal	/ˈænɪml/　<b>n.</b>　动物<br>Wild animals. 野生动物。	名词_自然与天气
dog	/dɒɡ/　<b>n.</b>　狗<br>A cute dog. 一只可爱的狗。	名词_自然与天气
cat	/kæt/　<b>n.</b>　猫<br>A black cat. 一只黑猫。	名词_自然与天气
bird	/bɜːd/　<b>n.</b>　鸟<br>A small bird. 一只小鸟。	名词_自然与天气
season	/ˈsiːzn/　<b>n.</b>　季节<br>Four seasons. 四季。	名词_自然与天气
work	/wɜːk/　<b>n.</b>　工作<br>A lot of work. 很多工作。	名词_工作与软件开发
job	/dʒɒb/　<b>n.</b>　工作，职位<br>A new job. 一份新工作。	名词_工作与软件开发
project	/ˈprɒdʒekt/　<b>n.</b>　项目<br>A big project. 一个大项目。	名词_工作与软件开发
task	/tɑːsk/　<b>n.</b>　任务<br>Finish the task. 完成任务。	名词_工作与软件开发
meeting	/ˈmiːtɪŋ/　<b>n.</b>　会议<br>A team meeting. 团队会议。	名词_工作与软件开发
plan	/plæn/　<b>n.</b>　计划<br>Make a plan. 制定计划。	名词_工作与软件开发
idea	/aɪˈdɪə/　<b>n.</b>　主意<br>A good idea. 一个好主意。	名词_工作与软件开发
problem	/ˈprɒbləm/　<b>n.</b>　问题<br>No problem. 没问题。	名词_工作与软件开发
question	/ˈkwestʃən/　<b>n.</b>　问题<br>A good question. 好问题。	名词_工作与软件开发
answer	/ˈɑːnsə/　<b>n.</b>　答案<br>The right answer. 正确答案。	名词_工作与软件开发
result	/rɪˈzʌlt/　<b>n.</b>　结果<br>The test result. 测试结果。	名词_工作与软件开发
report	/rɪˈpɔːt/　<b>n.</b>　报告<br>A daily report. 日报。	名词_工作与软件开发
email	/ˈiːmeɪl/　<b>n.</b>　邮件<br>Send an email. 发封邮件。	名词_工作与软件开发
message	/ˈmesɪdʒ/　<b>n.</b>　消息<br>A new message. 一条新消息。	名词_工作与软件开发
computer	/kəmˈpjuːtə/　<b>n.</b>　电脑<br>On the computer. 在电脑上。	名词_工作与软件开发
laptop	/ˈlæptɒp/　<b>n.</b>　笔记本电脑<br>My laptop. 我的笔记本。	名词_工作与软件开发
screen	/skriːn/　<b>n.</b>　屏幕<br>On the screen. 在屏幕上。	名词_工作与软件开发
keyboard	/ˈkiːbɔːd/　<b>n.</b>　键盘<br>A new keyboard. 新键盘。	名词_工作与软件开发
mouse	/maʊs/　<b>n.</b>　鼠标<br>Click the mouse. 点鼠标。	名词_工作与软件开发
software	/ˈsɒftweə/　<b>n.</b>　软件<br>Update the software. 更新软件。	名词_工作与软件开发
app	/æp/　<b>n.</b>　应用<br>A mobile app. 手机应用。	名词_工作与软件开发
code	/kəʊd/　<b>n.</b>　代码<br>Write code. 写代码。	名词_工作与软件开发
bug	/bʌɡ/　<b>n.</b>　缺陷，故障<br>Fix the bug. 修 bug。	名词_工作与软件开发
file	/faɪl/　<b>n.</b>　文件<br>Save the file. 保存文件。	名词_工作与软件开发
folder	/ˈfəʊldə/　<b>n.</b>　文件夹<br>In this folder. 在这个文件夹里。	名词_工作与软件开发
data	/ˈdeɪtə/　<b>n.</b>　数据<br>User data. 用户数据。	名词_工作与软件开发
database	/ˈdeɪtəbeɪs/　<b>n.</b>　数据库<br>The database is down. 数据库挂了。	名词_工作与软件开发
server	/ˈsɜːvə/　<b>n.</b>　服务器<br>The server is slow. 服务器很慢。	名词_工作与软件开发
system	/ˈsɪstəm/　<b>n.</b>　系统<br>The system works. 系统正常。	名词_工作与软件开发
network	/ˈnetwɜːk/　<b>n.</b>　网络<br>A slow network. 网络很慢。	名词_工作与软件开发
internet	/ˈɪntənet/　<b>n.</b>　互联网<br>On the internet. 在网上。	名词_工作与软件开发
website	/ˈwebsaɪt/　<b>n.</b>　网站<br>Visit the website. 访问网站。	名词_工作与软件开发
page	/peɪdʒ/　<b>n.</b>　页面<br>The home page. 主页。	名词_工作与软件开发
button	/ˈbʌtn/　<b>n.</b>　按钮<br>The save button. 保存按钮。	名词_工作与软件开发
password	/ˈpɑːswɜːd/　<b>n.</b>　密码<br>Enter your password. 输入密码。	名词_工作与软件开发
account	/əˈkaʊnt/　<b>n.</b>　账户<br>Create an account. 创建账户。	名词_工作与软件开发
version	/ˈvɜːʃn/　<b>n.</b>　版本<br>The new version. 新版本。	名词_工作与软件开发
feature	/ˈfiːtʃə/　<b>n.</b>　功能<br>A new feature. 新功能。	名词_工作与软件开发
test	/test/　<b>n.</b>　测试<br>Run a test. 跑一次测试。	名词_工作与软件开发
team	/tiːm/　<b>n.</b>　团队<br>The dev team. 开发团队。	名词_工作与软件开发
deadline	/ˈdedlaɪn/　<b>n.</b>　截止日期<br>Meet the deadline. 赶上截止日期。	名词_工作与软件开发
manager	/ˈmænɪdʒə/　<b>n.</b>　经理<br>My manager. 我的经理。	名词_工作与软件开发
developer	/dɪˈveləpə/　<b>n.</b>　开发者<br>A software developer. 软件开发者。	名词_工作与软件开发
service	/ˈsɜːvɪs/　<b>n.</b>　服务<br>Good service. 好服务。	名词_工作与软件开发
document	/ˈdɒkjumənt/　<b>n.</b>　文档<br>Read the document. 读文档。	名词_工作与软件开发
tool	/tuːl/　<b>n.</b>　工具<br>A useful tool. 有用的工具。	名词_工作与软件开发
thing	/θɪŋ/　<b>n.</b>　事物<br>One more thing. 还有一件事。	名词_抽象与其他
way	/weɪ/　<b>n.</b>　方法<br>A better way. 更好的办法。	名词_抽象与其他
life	/laɪf/　<b>n.</b>　生活，生命<br>Enjoy life. 享受生活。	名词_抽象与其他
world	/wɜːld/　<b>n.</b>　世界<br>The whole world. 整个世界。	名词_抽象与其他
word	/wɜːd/　<b>n.</b>　单词<br>A new word. 一个新词。	名词_抽象与其他
language	/ˈlæŋɡwɪdʒ/　<b>n.</b>　语言<br>English is a language. 英语是一门语言。	名词_抽象与其他
number	/ˈnʌmbə/　<b>n.</b>　数字<br>A phone number. 电话号码。	名词_抽象与其他
example	/ɪɡˈzɑːmpl/　<b>n.</b>　例子<br>For example. 例如。	名词_抽象与其他
reason	/ˈriːzn/　<b>n.</b>　原因<br>The main reason. 主要原因。	名词_抽象与其他
fact	/fækt/　<b>n.</b>　事实<br>In fact. 事实上。	名词_抽象与其他
point	/pɔɪnt/　<b>n.</b>　要点<br>Good point. 说得好。	名词_抽象与其他
part	/pɑːt/　<b>n.</b>　部分<br>The best part. 最好的部分。	名词_抽象与其他
kind	/kaɪnd/　<b>n.</b>　种类<br>What kind? 哪种？	名词_抽象与其他
type	/taɪp/　<b>n.</b>　类型<br>This type. 这种类型。	名词_抽象与其他
level	/ˈlevl/　<b>n.</b>　级别，水平<br>A high level. 高水平。	名词_抽象与其他
chance	/tʃɑːns/　<b>n.</b>　机会<br>A good chance. 好机会。	名词_抽象与其他
choice	/tʃɔɪs/　<b>n.</b>　选择<br>A hard choice. 艰难的选择。	名词_抽象与其他
change	/tʃeɪndʒ/　<b>n.</b>　变化；零钱<br>A big change. 大变化。	名词_抽象与其他
help	/help/　<b>n.</b>　帮助<br>Thanks for your help. 谢谢帮忙。	名词_抽象与其他
news	/njuːz/　<b>n.</b>　消息，新闻<br>Good news. 好消息。	名词_抽象与其他
story	/ˈstɔːri/　<b>n.</b>　故事<br>A long story. 说来话长。	名词_抽象与其他
question	/ˈkwestʃən/　<b>n.</b>　问题<br>Any questions? 有问题吗？	名词_抽象与其他
information	/ˌɪnfəˈmeɪʃn/　<b>n.</b>　信息<br>More information. 更多信息。	名词_抽象与其他
number	/ˈnʌmbə/　<b>n.</b>　数量<br>A large number. 大量。	名词_抽象与其他
price	/praɪs/　<b>n.</b>　价格<br>A good price. 好价格。	名词_抽象与其他
color	/ˈkʌlə/　<b>n.</b>　颜色<br>My favorite color. 我最喜欢的颜色。	名词_抽象与其他
size	/saɪz/　<b>n.</b>　尺寸<br>What size? 什么尺寸？	名词_抽象与其他
game	/ɡeɪm/　<b>n.</b>　游戏<br>Play a game. 玩游戏。	名词_抽象与其他
